Zoning Classification,Overall Material Quality,Overall House Condition,Roof Style,Fireplace Quality,Garage Year Built,Garage Area,Garage Quality,Year Sold,Actual SalePrice,Expected SalePrice
Low Density,5,7,Gable,NA,1980,576,Average,2009,106000,108979.2818
Low Density,3,5,Gable,NA,1959,320,Average,2009,78500,96669.22916
Low Density,6,5,Gable,NA,1969,907,Average,2009,190000,210516.397
Low Density,6,7,Gable,NA,1963,364,Average,2009,154000,189507.6948
Low Density,6,4,Gable,Poor,1967,480,Average,2009,163000,187611.8009
Low Density,5,5,Gable,NA,1969,968,Average,2009,200000,211423.24
Low Density,6,9,Hip,NA,1985,480,Average,2009,143500,145961.6067
Low Density,6,6,Hip,NA,1957,308,Average,2009,135000,156203.9136
Low Density,5,7,Hip,NA,1968,756,Average,2009,153000,185176.2478
Low Density,6,5,Gable,Good,1960,498,Average,2009,157500,175859.4859
Low Density,6,6,Flat,Good,1958,384,Average,2009,113500,122881.5651
Low Density,5,7,Gable,Good,1949,288,Average,2009,133000,137149.3935
Low Density,3,4,Gable,NA,1987,400,Average,2009,92900,103487.8599
Low Density,6,5,Gable,NA,1989,900,Average,2009,128500,143574.4326
Low Density,4,5,Gable,NA,1956,420,Average,2009,90000,112124.2314
Low Density,5,4,Gable,NA,1950,240,Average,2009,138000,157717.0627
Low Density,5,6,Hip,NA,1958,294,Average,2009,128000,131500.1388
Low Density,5,6,Hip,NA,1958,294,Average,2009,139000,157019.7995
Low Density,5,7,Gable,NA,1952,240,Average,2009,118900,144404.9732
Low Density,5,5,Gable,NA,1959,288,Average,2009,138000,142783.1283
Low Density,5,5,Hip,NA,1959,672,Average,2009,132500,161765.8369
Low Density,4,7,Gable,NA,1949,384,Average,2009,133500,150180.1221
Low Density,6,7,Gable,NA,1994,576,Average,2009,135000,154356.2155
Low Density,6,5,Gable,NA,1964,483,Average,2009,144750,158527.2694
Low Density,5,7,Gable,NA,1978,564,Average,2009,145000,166588.7515
Low Density,6,6,Hip,Fair,1963,264,Average,2009,127000,131380.3861
Low Density,5,5,Hip,NA,1962,308,Average,2009,109500,136600.2478
Medium Density,6,8,Gable,NA,1926,210,Average,2009,115000,137457.2917
Medium Density,5,6,Gable,NA,1966,440,Average,2009,110000,130502.7471
Medium Density,6,8,Gable,NA,1920,162,Fair,2009,128900,156112.4825
Medium Density,6,5,Gable,NA,1920,324,Fair,2009,103500,127047.8428
Medium Density,5,6,Gable,NA,1941,200,Average,2009,66500,81982.44925
Medium Density,5,8,Gable,NA,1959,472,Fair,2009,130000,143306.5396
Medium Density,5,8,Gable,NA,,0,NA,2009,129000,139250.0657
Medium Density,5,6,Gable,Good,1939,400,Average,2009,150000,152371.1403
Medium Density,5,4,Gable,NA,1985,432,Average,2009,107500,118440.3132
Medium Density,4,6,Gable,NA,,0,NA,2009,94550,104255.298
Medium Density,5,5,Hip,NA,1952,400,Average,2009,124500,147352.833
Medium Density,7,8,Gable,Good,1947,240,Average,2009,135000,141801.6654
Medium Density,5,5,Gable,NA,,0,NA,2009,103000,124575.5584
Medium Density,4,4,Gable,NA,1974,576,Average,2009,93000,102847.9551
Medium Density,5,7,Gable,NA,1950,308,Average,2009,129500,157509.0664
Medium Density,5,4,Gable,NA,1954,256,Average,2009,93000,96472.63844
Medium Density,4,6,Gable,NA,1920,288,Average,2009,80000,88082.0244
Medium Density,2,4,Gable,NA,1965,308,Average,2009,45000,51810.82531
Medium Density,3,6,Gable,NA,,0,NA,2009,37900,38248.54326
Medium Density,5,8,Gable,NA,1938,273,Average,2009,91300,99829.97349
Medium Density,5,8,Gable,NA,1963,287,Average,2009,99500,110803.0868
Medium Density,4,5,Gable,NA,,0,NA,2009,113000,122510.8116
Medium Density,4,4,Gable,NA,1974,720,Average,2009,87500,94210.66701
Medium Density,5,7,Gable,NA,1948,240,Average,2009,110000,112664.2091
Medium Density,5,5,Hip,NA,1910,360,Fair,2009,106000,122747.7126
Medium Density,7,7,Mansard,Good,1950,864,Average,2009,265979,290750.8306
Medium Density,6,7,Gable,NA,1930,357,Average,2009,160000,190330.5321
Medium Density,6,7,Gable,Good,1917,280,Average,2009,119000,140850.9592
Medium Density,8,9,Gable,Good,1925,424,Average,2009,168000,170488.4901
Commercial,4,3,Gable,Good,,0,NA,2009,58500,70094.9764
Medium Density,7,9,Hip,NA,1930,324,Average,2009,143000,162374.2186
Medium Density,5,4,Hip,NA,1956,280,Average,2009,85000,105988.7654
Medium Density,5,6,Hip,NA,1963,456,Average,2009,124900,152864.2618
Medium Density,6,6,Gable,NA,1920,207,Fair,2009,119000,135492.0181
Medium Density,6,7,Gable,NA,1950,640,Average,2009,146500,172005.2917
Commercial,4,5,Gable,NA,,0,NA,2009,34900,41618.10574
Commercial,3,3,Mansard,NA,,0,NA,2009,44000,46036.08377
Low Density,5,6,Gable,Average,1923,528,Average,2009,223500,250662.8907
Low Density,6,6,Gable,Good,1923,216,Fair,2009,149000,167165.6142
Low Density,7,7,Gable,NA,1978,672,Average,2009,205000,232008.8343
Low Density,5,7,Gable,Good,1955,336,Average,2009,137000,139602.7274
Low Density,6,6,Gable,Good,1916,192,Fair,2009,121000,141391.1746
Medium Density,4,6,Gable,NA,1936,240,Average,2009,128000,154638.4004
Medium Density,6,9,Gable,NA,1999,624,Average,2009,134900,136371.3883
Medium Density,5,8,Gable,Fair,1960,216,Average,2009,117000,117510.566
Medium Density,6,6,Gable,Good,1939,280,Average,2009,132500,146933.8813
Medium Density,5,5,Gable,NA,1924,320,Average,2009,93000,106130.0803
Medium Density,6,7,Gable,NA,1926,180,Average,2009,119000,131020.5327
Medium Density,5,5,Gable,NA,1965,440,Average,2009,100000,116519.2698
Medium Density,5,6,Gable,NA,1995,576,Average,2009,141500,175384.2042
Medium Density,4,7,Gable,NA,1935,240,Average,2009,133000,158871.0063
Medium Density,2,3,Gable,Poor,,0,NA,2009,60000,64584.22238
Medium Density,5,7,Gable,NA,1931,180,Fair,2009,105000,114504.6274
Medium Density,5,6,Gable,NA,1926,264,Average,2009,115000,128531.4092
Medium Density,5,6,Gable,Good,1938,250,Fair,2009,150000,161742.4313
Medium Density,5,5,Hip,NA,1982,1184,Fair,2009,126500,138306.9581
Low Density,6,6,Gable,NA,1930,441,Average,2009,214500,231492.9439
Low Density,7,8,Gable,NA,1997,532,Average,2009,167500,196045.4122
Medium Density,6,6,Gable,NA,1930,576,Fair,2009,155000,188677.1312
Medium Density,7,8,Gable,Good,1915,164,Fair,2009,155000,170159.2223
Medium Density,7,8,Gable,NA,1915,216,Average,2009,179900,197701.4664
Medium Density,6,6,Gable,NA,,0,NA,2009,104000,104308.6506
Medium Density,5,1,Hip,NA,,0,NA,2009,62500,70507.28863
Medium Density,6,5,Gable,NA,1927,316,Average,2009,149000,184863.3864
Medium Density,4,5,Gable,NA,1962,539,Average,2009,103000,119371.4518
Medium Density,6,7,Gable,NA,1915,379,Average,2009,123000,143416.8083
Medium Density,7,5,Gable,NA,,0,NA,2009,97500,108181.7996
Medium Density,6,6,Gable,NA,1927,384,Fair,2009,135000,164369.2341
Medium Density,4,6,Hip,NA,,0,NA,2009,70000,85508.46005
Medium Density,6,7,Gable,NA,1915,308,Average,2009,116000,124684.5691
Low Density,4,9,Gable,NA,1946,220,Average,2009,88750,107973.3725
Low Density,5,5,Gable,NA,,0,NA,2009,179000,219813.1944
Low Density,5,5,Gable,NA,,0,NA,2009,179000,179299.4764
Low Density,5,5,Gable,NA,1960,252,Average,2009,159900,168906.0421
Low Density,1,1,Gable,NA,,0,NA,2009,61000,75151.32233
High Density,6,6,Gambrel,NA,1930,300,Average,2009,103600,121576.6529
Low Density,5,3,Gable,NA,1934,226,Poor,2009,63000,77147.60196
Low Density,5,6,Gable,Average,1997,480,Average,2009,175000,186286.9637
Low Density,5,6,Gable,NA,1963,480,Average,2009,139000,141924.8632
Low Density,6,5,Hip,Average,1978,440,Average,2009,172500,191116.757
Low Density,5,6,Hip,Poor,1984,668,Average,2009,113500,116103.3633
Low Density,5,7,Hip,NA,1967,288,Average,2009,130000,146709.4727
Low Density,6,5,Gable,Fair,1978,504,Average,2009,149900,157124.3764
Low Density,5,5,Hip,NA,1983,576,Average,2009,134900,149699.5997
Low Density,5,6,Hip,NA,1996,528,Average,2009,137000,163779.1883
Low Density,5,5,Gable,Poor,1962,288,Average,2009,139000,156953.6515
Low Density,5,5,Hip,Average,1961,384,Average,2009,165000,168124.6646
Low Density,6,5,Hip,Average,1960,480,Average,2009,148000,162007.4907
Low Density,5,5,Hip,Average,1956,336,Average,2009,165000,192230.0341
Low Density,2,2,Gable,NA,,0,NA,2009,63900,78369.33205
Low Density,4,5,Gable,Average,1957,304,Average,2009,161500,178433.4073
Low Density,5,8,Flat,Good,1968,452,Average,2009,143000,174317.626
Low Density,4,6,Gable,NA,1956,284,Average,2009,135000,138952.2044
Low Density,4,5,Gable,NA,1961,539,Average,2009,82500,87698.06924
Low Density,5,5,Hip,Good,1955,303,Average,2009,190000,236994.6021
Low Density,3,5,Hip,Good,1955,452,Average,2009,139600,154251.594
Low Density,4,5,Gable,NA,1980,498,Fair,2009,122000,122859.2829
Low Density,6,5,Hip,Good,1956,480,Average,2009,127500,150420.8936
Low Density,5,5,Hip,NA,1956,340,Average,2009,121500,123240.5604
Low Density,5,3,Gable,NA,1958,350,Average,2009,60000,70444.49048
Low Density,6,7,Hip,Good,1946,240,Average,2009,154400,166447.9296
Low Density,4,6,Hip,NA,1941,234,Average,2009,113000,130950.9843
Low Density,5,6,Gable,Good,1954,252,Average,2009,125000,141426.402
Low Density,4,3,Gable,NA,1957,290,Average,2009,84000,101934.465
Low Density,5,5,Gable,NA,1984,266,Average,2009,139500,154513.8315
Low Density,5,4,Gable,Good,1949,281,Average,2009,131000,140200.9874
Low Density,6,5,Gable,NA,1939,280,Average,2009,105000,127722.4212
Low Density,4,5,Gable,Good,1940,296,Fair,2009,108000,113225.1548
Low Density,7,6,Gable,NA,1990,462,Average,2009,162000,198776.5561
Low Density,6,5,Gable,Poor,1983,576,Average,2009,156500,187934.9252
Low Density,8,8,Gable,Good,1983,612,Good,2009,316600,339749.7119
Low Density,7,7,Hip,Average,1990,701,Average,2009,271900,321154.3545
Low Density,7,5,Gable,Average,1993,425,Average,2009,213000,251391.3888
Low Density,7,5,Gable,Average,1993,473,Average,2009,239900,264477.0323
Low Density,8,5,Gable,Average,1995,466,Average,2009,239500,248669.2753
Low Density,5,7,Gable,Average,1900,576,Average,2009,131000,135193.55
Low Density,5,5,Gable,NA,1979,410,Average,2009,118964,140617.0636
Low Density,5,5,Gable,Average,1979,528,Average,2009,153337,154742.2841
Low Density,5,5,Gable,NA,1979,720,Average,2009,147983,184820.1796
Low Density,5,5,Gable,NA,1979,400,Average,2009,118858,145759.189
Low Density,5,5,Gable,NA,1979,400,Average,2009,118858,135668.0564
Low Density,5,5,Gable,NA,1979,528,Average,2009,142953,154782.3596
Low Density,5,5,Gable,Average,1979,672,Average,2009,148325,163148.6324
Low Density,5,5,Gable,NA,1979,400,Average,2009,113722,121006.3034
Low Density,7,5,Hip,Average,2000,820,Average,2009,269500,320343.8837
Low Density,7,5,Hip,Average,2000,820,Average,2009,269500,292918.1128
Low Density,7,5,Hip,Average,2000,820,Average,2009,269500,276183.3877
Low Density,9,5,Hip,Good,2009,1138,Average,2009,323262,349465.1483
Low Density,8,5,Hip,Good,2007,826,Average,2009,297000,366680.8029
Low Density,8,5,Gable,Good,2008,860,Average,2009,295493,326277.2871
Low Density,9,5,Gable,Good,2008,846,Average,2009,332000,365738.0918
Low Density,8,5,Gable,Good,2008,904,Average,2009,239900,291778.3197
Low Density,8,5,Gable,NA,2007,578,Average,2009,212000,257406.4622
Low Density,8,5,Hip,Good,2007,524,Average,2009,272500,291125.1631
Low Density,9,5,Gable,NA,2007,702,Average,2009,239000,264730.1863
Low Density,7,5,Gable,Good,2006,660,Average,2009,220000,224500.5305
Low Density,7,5,Gable,Good,2007,662,Average,2009,200000,248540.1985
Low Density,8,5,Gable,NA,2008,810,Average,2009,221800,270924.2548
Low Density,7,5,Gable,NA,2007,632,Average,2009,194500,216287.5064
Low Density,8,5,Gable,Good,2005,844,Average,2009,237000,262626.5507
Low Density,6,5,Gable,Good,2005,440,Average,2009,173000,185686.6437
Low Density,7,5,Gable,Average,1989,569,Average,2009,275000,317517.8818
Low Density,7,5,Gable,Average,1992,525,Average,2009,233500,271856.4225
Low Density,5,5,Flat,NA,1967,538,Average,2009,185000,204780.2928
Low Density,5,5,Gable,NA,2000,576,Average,2009,152000,186770.1958
Low Density,5,7,Gable,NA,1995,440,Average,2009,143000,164767.6349
Low Density,6,5,Gable,NA,1997,470,Average,2009,231500,278322.7337
Low Density,7,6,Gable,Average,1996,550,Average,2009,212000,244436.6861
Low Density,7,5,Gable,NA,1998,539,Average,2009,207000,246757.8662
Low Density,5,5,Gable,NA,1995,672,Average,2009,145000,168941.8915
Low Density,5,5,Gable,NA,2000,480,Average,2009,138000,159039.7921
Low Density,7,5,Gable,NA,1998,546,Average,2009,197900,203775.9497
Low Density,7,5,Gable,NA,1999,577,Average,2009,204000,222730.9992
Low Density,7,5,Gable,NA,1999,666,Average,2009,192000,229229.7617
Low Density,6,5,Gable,Average,1998,492,Average,2009,200000,204646.2705
Low Density,7,5,Gable,NA,2002,493,Average,2009,195000,199690.8263
Low Density,7,5,Gable,NA,2002,544,Average,2009,227000,281102.5378
Low Density,7,5,Gable,NA,2001,622,Average,2009,230000,236598.412
Low Density,7,5,Gable,NA,2001,605,Average,2009,187100,228704.0866
Low Density,7,5,Gable,NA,2002,577,Average,2009,203000,245786.2422
Low Density,7,5,Gable,Average,2001,608,Average,2009,201000,230734.4365
Low Density,5,5,Gable,NA,,0,NA,2009,124000,153413.5361
Low Density,5,5,Gable,NA,1978,343,Average,2009,140000,165538.7178
Low Density,5,7,Gable,NA,1979,444,Average,2009,134900,147302.9162
Low Density,5,7,Gable,NA,1977,484,Average,2009,150500,168990.3362
Low Density,5,8,Gable,NA,1978,336,Average,2009,136500,142961.3953
Low Density,5,7,Gable,NA,1978,252,Average,2009,143500,166843.6037
Low Density,5,6,Gable,Fair,1972,338,Average,2009,133500,140015.9459
Low Density,5,5,Hip,NA,1985,600,Average,2009,123000,129689.8395
Low Density,5,8,Gable,NA,1974,396,Average,2009,133900,149629.7093
Low Density,5,7,Gable,NA,1988,396,Average,2009,133000,136356.1967
Low Density,7,5,Hip,NA,2002,1231,Average,2009,250000,272758.2269
Low Density,8,5,Gable,Good,2003,570,Average,2009,254750,306057.993
Low Density,8,5,Hip,Average,2001,522,Average,2009,236500,268765.5708
Low Density,8,5,Gable,Average,2001,531,Average,2009,261500,265614.0076
Low Density,9,5,Hip,Excellent,2000,736,Average,2009,313000,376189.4555
Low Density,7,5,Gable,NA,2002,550,Average,2009,198500,247717.3862
Low Density,7,5,Gable,NA,2001,608,Average,2009,211000,246676.1853
Low Density,8,5,Gable,Average,1999,521,Average,2009,220000,240170.0685
Low Density,7,5,Hip,Average,1996,478,Average,2009,203000,230106.9423
Low Density,8,5,Hip,Good,2002,523,Average,2009,279500,322282.7934
Low Density,7,5,Gable,Average,1997,511,Average,2009,210000,250953.1843
Low Density,7,5,Gable,NA,1998,645,Average,2009,219500,255327.382
Low Density,7,5,Gable,Average,1996,512,Average,2009,191000,230220.6567
Low Density,7,5,Gable,NA,2001,573,Average,2009,178000,208060.2921
Low Density,7,5,Gable,Average,2000,451,Average,2009,213000,240556.5952
Medium Density,6,5,Gable,NA,2003,420,Average,2009,144000,158413.0906
Medium Density,6,5,Gable,NA,2003,420,Average,2009,140000,140252.4665
Low Density,8,5,Gable,Good,2007,810,Average,2009,293200,355955.8466
Low Density,7,5,Gable,NA,2004,572,Average,2009,190000,202411.4693
Low Density,7,5,Gable,NA,2004,570,Average,2009,190000,214120.228
Low Density,6,5,Gable,NA,2005,540,Average,2009,173500,197213.545
Low Density,6,5,Gable,Good,2007,440,Average,2009,170000,197711.5754
Low Density,4,5,Gable,NA,2002,520,Average,2009,108000,127940.6328
Low Density,5,7,Hip,NA,1968,480,Average,2009,167000,177989.3791
Low Density,4,6,Gable,Good,1958,288,Fair,2009,100000,122881.3001
Low Density,7,5,Gable,Excellent,2003,672,Average,2009,198500,217888.2731
Low Density,6,6,Hip,NA,1977,440,Average,2009,159500,161018.6448
Low Density,4,6,Gable,NA,1968,544,Average,2009,127000,143114.9025
Low Density,6,6,Hip,Fair,1977,352,Average,2009,125000,138645.5216
Low Density,9,5,Hip,Good,2007,768,Average,2009,320000,348084.8329
Medium Density,6,5,Gable,NA,2005,525,Average,2009,145500,173457.5321
Low Density,5,9,Hip,NA,,0,NA,2009,118000,146841.3349
Low Density,4,5,Gable,NA,1959,320,Average,2009,85000,93483.28905
Low Density,5,5,Gable,NA,1950,195,Average,2009,120000,127737.6248
Low Density,4,3,Gable,NA,1945,240,Average,2009,98000,117859.5078
Low Density,5,8,Gable,NA,,0,NA,2009,99900,117121.8879
Low Density,3,3,Flat,NA,1956,528,Average,2009,82000,95447.76625
Low Density,5,5,Hip,NA,,0,NA,2009,119900,133765.6149
Low Density,5,5,Hip,Average,1956,313,Average,2009,103500,123645.6369
Low Density,4,3,Gable,NA,1956,288,Average,2009,112000,130091.6822
Low Density,6,8,Gable,NA,2005,528,Average,2009,110000,120874.4827
Low Density,5,6,Gable,Good,1940,256,Average,2009,122000,147013.7206
Low Density,5,5,Gable,NA,1977,660,Average,2009,117000,135579.4699
High Density,5,4,Gable,Good,1938,250,Average,2009,160000,195561.7815
High Density,5,5,Gable,NA,1968,281,Average,2009,159434,162191.6668
Low Density,2,5,Gable,NA,1930,246,Average,2009,60000,70953.45424
Low Density,6,7,Gable,Good,1940,240,Average,2009,139500,158279.5751
Low Density,7,3,Gable,Average,1970,672,Average,2009,197000,227065.8117
Low Density,6,6,Gable,Good,1926,180,Fair,2009,105000,121200.2402
Low Density,4,3,Gable,Average,1981,576,Average,2009,135000,168377.5846
Low Density,6,8,Gable,Good,1916,440,Average,2009,147500,152010.1031
Low Density,6,6,Gable,Good,1925,216,Fair,2009,137450,163922.8122
Low Density,7,9,Gable,NA,1971,576,Average,2009,155000,179468.9242
Low Density,6,6,Gable,Average,1929,342,Fair,2009,177000,208728.2336
Low Density,7,7,Gable,Good,1928,216,Average,2009,145000,172772.1366
Low Density,7,8,Gambrel,Good,1918,215,Fair,2009,137000,142607.5426
Low Density,7,9,Gambrel,Good,1926,282,Average,2009,234000,240831.0635
Low Density,5,6,Gable,Average,1961,440,Average,2009,205000,221601.931
Low Density,6,7,Gable,Good,1942,213,Average,2009,177500,196652.4104
Low Density,5,7,Gable,Average,1940,256,Average,2009,160000,187527.5126
Low Density,5,4,Gable,NA,1960,307,Average,2009,155000,166586.0328
Low Density,5,7,Gable,NA,1921,432,Average,2009,163500,195345.9249
Low Density,5,6,Gable,Good,1921,186,Fair,2009,154900,170293.8525
Low Density,7,6,Gable,Good,1940,400,Average,2009,205000,213689.0204
Low Density,5,6,Gable,Good,1954,390,Average,2009,144800,174018.5439
Low Density,7,7,Gable,Good,1941,234,Average,2009,174500,213107.3279
Low Density,6,6,Gable,Good,1960,463,Average,2009,193000,205539.4093
Low Density,5,7,Gable,Average,1949,295,Average,2009,158000,190037.7996
Low Density,6,8,Gable,Good,1950,300,Average,2009,158500,195362.8185
Low Density,6,5,Gable,Good,1954,576,Average,2009,224000,225556.6409
Medium Density,6,6,Gable,Average,1980,452,Average,2009,115000,127010.5637
Medium Density,6,6,Gable,Average,1980,462,Average,2009,137000,137832.3931
Medium Density,6,6,Gable,Average,1980,462,Average,2009,121000,148862.2077
Medium Density,6,6,Gable,Average,1980,462,Average,2009,124000,132667.4305
Low Density,6,6,Gable,Average,1986,501,Average,2009,208000,243858.134
Low Density,7,9,Hip,Good,1971,551,Average,2009,315000,393405.172
Low Density,6,9,Hip,Good,1988,540,Average,2009,222000,224776.3801
Medium Density,5,7,Hip,NA,1964,468,Average,2009,147000,176499.3628
Medium Density,5,6,Gambrel,NA,1998,576,Average,2009,123000,132039.4588
Medium Density,5,5,Gable,NA,1920,189,Fair,2009,78000,85835.80822
Commercial,3,2,Hip,NA,,0,NA,2009,85000,88051.76992
Commercial,4,6,Gable,NA,1940,200,Average,2009,75000,82341.33021
Medium Density,8,5,Hip,Good,2007,482,Average,2009,230000,282279.5804
Industrial,2,4,Gable,NA,1975,280,Average,2009,57625,71011.07474
Low Density,8,5,Gable,Average,2000,642,Average,2009,251000,293980.7361
Low Density,7,5,Gable,Excellent,2003,670,Average,2009,239686,271980.625
Low Density,7,5,Hip,Good,2004,550,Average,2009,240000,250943.8226
Low Density,6,5,Gable,Average,2001,560,Average,2009,215000,238990.1854
Low Density,6,6,Gable,Average,1977,351,Average,2009,156450,191665.409
Low Density,6,7,Gable,Fair,1977,541,Average,2009,173000,214603.5245
Low Density,5,5,Gable,NA,1977,539,Average,2009,126000,142675.4911
Low Density,7,5,Gable,NA,1990,497,Average,2009,173000,208469.494
Low Density,5,5,Gable,NA,1991,672,Average,2009,152000,153957.5825
Low Density,6,6,Gable,Good,1958,525,Average,2009,137500,143884.2149
Low Density,7,5,Hip,Good,1965,513,Average,2009,375000,403654.5071
Low Density,9,5,Hip,Excellent,2008,912,Average,2009,315500,394160.193
Low Density,7,5,Gable,NA,2009,650,Average,2009,224500,249989.7297
Low Density,9,5,Gable,Excellent,2008,780,Average,2009,410000,492519.7736
Low Density,9,5,Gable,NA,2008,885,Average,2009,316500,382013.218
Low Density,8,5,Gable,NA,2007,610,Average,2009,201000,240752.5298
Low Density,6,5,Gable,Average,1988,576,Average,2009,175000,199413.8871
Low Density,6,8,Gable,Average,1980,440,Average,2009,204000,207206.4526
Low Density,7,5,Hip,Fair,1987,578,Average,2009,213500,248928.7225
Low Density,8,5,Gable,NA,2001,471,Average,2009,220000,272699.1554
Low Density,7,5,Gable,NA,2003,486,Average,2009,170000,204249.6809
Low Density,9,5,Hip,Good,2006,765,Average,2009,315000,317926.7601
Low Density,9,5,Hip,Good,2007,920,Average,2009,425000,499722.7422
Low Density,5,7,Gable,NA,1968,384,Average,2009,139500,153394.054
Low Density,5,4,Hip,Average,1960,336,Average,2009,115000,120747.0798
Medium Density,6,5,Hip,NA,1998,412,Average,2009,162000,180619.9868
Medium Density,6,5,Hip,NA,1999,402,Average,2009,165000,186644.0667
Medium Density,4,5,Gable,NA,1973,297,Average,2009,91000,93594.25084
Low Density,5,6,Gable,NA,1968,288,Average,2009,130000,158215.5024
Medium Density,4,8,Gable,NA,1970,286,Average,2009,86000,87746.4393
Low Density,5,5,Hip,Poor,1969,504,Average,2009,160000,161191.0178
Medium Density,4,4,Gable,NA,1970,286,Average,2009,80000,88747.1305
Medium Density,4,6,Gable,Average,,0,NA,2009,97000,107960.811
Medium Density,4,4,Gable,NA,1970,286,Average,2009,88000,98879.06582
Low Density,5,8,Gable,NA,1998,336,Average,2009,131900,152697.7433
Low Density,6,5,Gable,NA,1993,429,Average,2009,131250,141353.9093
Low Density,5,6,Gable,Average,1978,602,Average,2009,165500,179996.4802
Low Density,5,5,Gable,NA,,0,NA,2009,112000,126237.1389
Low Density,5,6,Gable,Fair,1998,698,Average,2009,149000,150566.1587
Low Density,5,5,Gable,NA,1993,480,Average,2009,143000,148509.7147
Low Density,5,5,Gable,NA,2001,440,Average,2009,130000,149147.0627
Low Density,6,5,Gable,Average,1977,714,Average,2009,196000,236869.6249
Low Density,5,7,Gable,Average,1969,898,Average,2009,173000,207979.1525
Low Density,6,8,Hip,Average,1990,601,Average,2008,176500,205586.4153
Low Density,6,7,Gable,Good,1970,550,Average,2008,237500,291104.5757
Low Density,6,5,Gable,Good,1969,576,Average,2008,206900,248559.1832
Low Density,6,5,Gable,Average,1997,470,Average,2008,187500,220439.1433
Low Density,6,5,Gable,Average,1995,420,Average,2008,165000,202508.4093
Low Density,6,5,Gable,NA,1998,472,Average,2008,195500,200188.927
Low Density,6,5,Gable,Average,1998,472,Average,2008,192000,221018.0553
Low Density,6,5,Gable,Average,1996,386,Average,2008,173000,181570.4488
Low Density,5,5,Gable,NA,1996,404,Average,2008,177900,197295.5727
Low Density,7,5,Gable,Average,1996,406,Average,2008,175000,176460.7189
Low Density,8,5,Gable,Good,2001,682,Average,2008,286000,346304.8036
Low Density,8,5,Gable,Average,1997,528,Average,2008,247900,247956.8505
Low Density,8,5,Gable,Average,1993,462,Average,2008,180000,207465.8194
Low Density,8,5,Gable,NA,1992,506,Average,2008,180000,224824.5187
Low Density,6,5,Gable,Average,1997,470,Average,2008,181000,187147.2194
Low Density,6,5,Gable,Average,1998,460,Average,2008,183000,185323.5854
Low Density,6,5,Gable,Average,1995,431,Average,2008,188000,210972.6324
Low Density,7,5,Gable,Average,1994,409,Average,2008,194500,224395.2739
Low Density,6,5,Gable,NA,1991,416,Average,2008,185000,193533.1211
Low Density,8,5,Gable,Good,1988,472,Average,2008,189000,192873.3642
Low Density,8,5,Gable,Average,1989,462,Average,2008,188500,235322.7841
Low Density,8,5,Gable,Good,2005,683,Average,2008,355000,394396.7728
Low Density,9,5,Hip,Good,2005,656,Average,2008,325000,378347.5386
Low Density,9,5,Hip,Good,2004,670,Average,2008,387000,400743.625
Low Density,6,2,Hip,Good,1952,495,Average,2008,115000,125043.455
Low Density,9,5,Hip,Good,2007,557,Average,2008,334000,408112.2858
Low Density,6,5,Hip,Average,1950,738,Average,2008,133000,134794.2296
Low Density,7,6,Gable,Average,1986,542,Average,2008,215000,254634.6918
Low Density,7,6,Gable,Excellent,1988,528,Average,2008,226500,241420.6717
Low Density,6,6,Gable,Average,1981,576,Average,2008,175500,214679.4045
Low Density,7,7,Gable,NA,1983,598,Average,2008,181900,203213.5666
Low Density,7,5,Hip,Fair,1978,550,Average,2008,235000,254866.1171
Low Density,7,5,Hip,Average,1979,551,Average,2008,220000,267456.1992
Low Density,6,7,Gable,Average,1977,619,Average,2008,272000,301883.3416
Low Density,6,5,Hip,Poor,1976,461,Average,2008,161000,165160.1482
Low Density,5,6,Gable,NA,1977,540,Average,2008,175000,199397.8158
Low Density,7,6,Gable,Average,1980,489,Average,2008,185000,222892.8619
Low Density,5,6,Gable,NA,1969,484,Average,2008,146900,158248.9392
Low Density,7,7,Mansard,Good,1978,1314,Average,2008,292500,331840.816
Low Density,6,5,Gable,Average,1976,478,Average,2008,180000,180070.8714
Low Density,6,5,Gable,Good,1976,473,Average,2008,159900,180768.9368
Low Density,7,6,Hip,Good,1976,483,Average,2008,205000,220438.5059
Low Density,5,6,Gable,Fair,1973,439,Average,2008,157000,176384.5336
Low Density,8,5,Gable,Good,1996,787,Average,2008,306000,382259.54
Low Density,5,5,Gable,NA,1982,480,Average,2008,133000,143525.7117
Low Density,6,8,Gable,NA,1969,460,Average,2008,151000,180911.1564
Low Density,4,6,Gable,NA,1969,288,Average,2008,111900,118439.1213
Low Density,5,5,Hip,NA,1977,576,Average,2008,123000,152344.5673
Low Density,4,5,Hip,NA,1980,576,Average,2008,111250,122505.8434
High Density,6,5,Gable,NA,1998,511,Average,2008,181000,192302.2046
Medium Density,6,5,Gable,NA,1973,264,Average,2008,103400,116540.7916
Medium Density,6,5,Gable,NA,1973,264,Average,2008,100000,116407.963
Medium Density,6,6,Gable,NA,1975,352,Average,2008,100500,115425.987
Medium Density,6,6,Gable,NA,1987,280,Average,2008,106000,124282.4035
Medium Density,6,5,Gable,NA,1971,264,Average,2008,85400,103232.4719
Medium Density,6,3,Gable,NA,1971,264,Average,2008,89500,109727.4407
Medium Density,5,5,Gable,NA,1972,264,Average,2008,111750,129116.9473
Low Density,6,6,Gable,NA,1977,440,Average,2008,140000,150386.3972
Low Density,6,6,Gable,NA,1975,460,Average,2008,143000,155590.4397
